nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
πεπτωκειαν,πεπτωκυιαν,"standard ι, nonstandard ει",,,
πεπτωκωτα,πεπτωκοτα,ο and ω,,,
πεπυρωμενων,πεπυρωμενον,ο and ω,,,
πεπωωρωμενην,πεποωρωμενην,ο and ω,,,
περει,περι,"nonstandard ει, standard ι",,,
περειθεσεως,περιθεσεως,"nonstandard ει, standard ι",,,
περειπατει,περιπατει,"standard ι, nonstandard ει",,,
περειπεπατηκει,περιπεπατηκει,"standard ι, nonstandard ει",,,
περειποιησειν,περιποιησιν,"nonstandard ει, standard ι",,,
περειστεραν,περιστεραν,"nonstandard ει, standard ι",,,
περιαγεται,περιαγετε,"nonstandard αι, standard ε",,,
περιαιλειν,περιελειν,"nonstandard αι, standard ε",,,
περιβαλλη,περιβαλη,λ gemination,,,
περιβαλληται,περιβαληται,λ gemination,,,
περιβαλλωμεθα,περιβαλωμεθα,λ gemination,,,
περιβεβλιμενοι,περιβεβλημενοι,η and ι,,,
περιβεβλιμενον,περιβεβλημενον,η and ι,,,
περιβεβλιμενος,περιβεβλημενος,η and ι,,,
περιβεβλιμενους,περιβεβλημενους,η and ι,,,
περιδραμωντες,περιδραμοντες,ο and ω,,,
περιεβαλεται,περιεβαλετε,"nonstandard αι, standard ε",,,
περιεβαλετω,περιεβαλετο,ο and ω,,,
περιεβαλλετε,περιεβαλετε,λ gemination,,,
περιεβαλλετο,περιεβαλετο,λ gemination,,,
περιεβαλλομεν,περιεβαλομεν,λ gemination,,,
περιεβαλωμεν,περιεβαλομεν,ο and ω,,,
περιεβλεπετω,περιεβλεπετο,ο and ω,,,
περιεθικεν,περιεθηκεν,η and ι,,,
περιελθωντες,περιελθοντες,ο and ω,,,
περιελωντες,περιελοντες,ο and ω,,,
περιεπατι,περιεπατει,"standard ει, nonstandard ι",,,
περιεπατισεν,περιεπατησεν,η and ι,,,
περιεποιησατω,περιεποιησατο,ο and ω,,,
περιερχωμενων,περιερχομενων,ο and ω,,,
περιεστισαν,περιεστησαν,η and ι,,,
περιηρειτω,περιηρειτο,ο and ω,,,
περικαλυπτιν,περικαλυπτειν,"standard ει, nonstandard ι",,,
περικιμαι,περικειμαι,"standard ει, nonstandard ι",,,
περικιται,περικειται,"standard ει, nonstandard ι",,,
περικρατις,περικρατεις,"standard ει, nonstandard ι",,,
περιλιπομενοι,περιλειπομενοι,"standard ει, nonstandard ι",,,
περιλυπως,περιλυπος,ο and ω,,,
περιμενιν,περιμενειν,"standard ει, nonstandard ι",,,
περιοχι,περιοχη,η and ι,,,
περιπατειται,περιπατειτε,"nonstandard αι, standard ε",,,
περιπατι,περιπατει,"standard ει, nonstandard ι",,,
περιπατιν,περιπατειν,"standard ει, nonstandard ι",,,
περιπατουνταις,περιπατουντες,"nonstandard αι, standard ε",,,
περιπεπατικει,περιπεπατηκει,η and ι,,,
περιπεσηται,περιπεσητε,"nonstandard αι, standard ε",,,
περιπεσωντες,περιπεσοντες,ο and ω,,,
περιρριξαντες,περιρρηξαντες,η and ι,,,
περισσευοντως,περισσευοντος,ο and ω,,,
περισσευων,περισσευον,ο and ω,,,
περισσια,περισσεια,"standard ει, nonstandard ι",,,
περισσιαν,περισσειαν,"standard ει, nonstandard ι",,,
περισσοτερων,περισσοτερον,ο and ω,,,
περισσων,περισσον,ο and ω,,,
περισσωτερον,περισσοτερον,ο and ω,,,
περισσωτερως,περισσοτερως,ο and ω,,,
περιτειθεασιν,περιτιθεασιν,"nonstandard ει, standard ι",,,
περιτεμιν,περιτεμειν,"standard ει, nonstandard ι",,,
περιτεμνησθαι,περιτεμνησθε,"nonstandard αι, standard ε",,,
περιτεμνιν,περιτεμνειν,"standard ει, nonstandard ι",,,
περιτιθεασειν,περιτιθεασιν,"standard ι, nonstandard ει",,,
περιτομιν,περιτομην,η and ι,,,
περιτρεπι,περιτρεπει,"standard ει, nonstandard ι",,,
περιτωμης,περιτομης,ο and ω,,,
περιφεριν,περιφερειν,"standard ει, nonstandard ι",,,
περιχωρων,περιχωρον,ο and ω,,,
πεσαιται,πεσετε,"nonstandard αι, standard ε",,,
πεσεται,πεσετε,"nonstandard αι, standard ε",,,
πεσιν,πεσειν,"nonstandard ι, standard ει",,,
πεσιται,πεσειται,"standard ει, nonstandard ι",,,
πεσωντες,πεσοντες,ο and ω,,,
πετινα,πετεινα,"nonstandard ι, standard ει",,,
πετινων,πετεινων,"nonstandard ι, standard ει",,,
πετιται,πετηται,η and ι,,,
πετρωδι,πετρωδη,η and ι,,,
πετρων,πετρον,ο and ω,,,
πετρως,πετρος,ο and ω,,,
πετωμενοις,πετομενοις,ο and ω,,,
πετωμενον,πετομενον,ο and ω,,,
πετωμενου,πετομενου,ο and ω,,,
πετωμενω,πετομενω,ο and ω,,,
πεφειμωσο,πεφιμωσο,"nonstandard ει, standard ι",,,
πεφιμωσω,πεφιμωσο,ο and ω,,,
πιγανον,πηγανον,η and ι,,,
πιγας,πηγας,η and ι,,,
πιγη,πηγη,η and ι,,,
πιδαλιων,πηδαλιων,η and ι,,,
πιεσθαι,πιεσθε,"nonstandard αι, standard ε",,,
πιεται,πιετε,"nonstandard αι, standard ε",,,
πιηται,πιητε,"nonstandard αι, standard ε",,,
πιθαρχειν,πειθαρχειν,"standard ει, nonstandard ι",,,
πιθαρχησαντας,πειθαρχησαντας,"nonstandard ι, standard ει",,,
πιθαρχιν,πειθαρχειν,"nonstandard ι, standard ει",,,
πιθαρχουσιν,πειθαρχουσιν,"standard ει, nonstandard ι",,,
πιθεις,πειθεις,"standard ει, nonstandard ι",,,
πιθεσθαι,πειθεσθαι,"standard ει, nonstandard ι",,,
πιθεσθε,πειθεσθε,"nonstandard ι, standard ει",,,
πιθοις,πειθοις,"standard ει, nonstandard ι",,,
πιθομαι,πειθομαι,"standard ει, nonstandard ι",,,
πιθομενοις,πειθομενοις,"standard ει, nonstandard ι",,,
πιθομενου,πειθομενου,"nonstandard ι, standard ει",,,
πιθω,πειθω,"nonstandard ι, standard ει",,,
πιθων,πειθων,"nonstandard ι, standard ει",,,
πιιν,πιειν,"standard ει, nonstandard ι",,,
πικρανι,πικρανει,"standard ει, nonstandard ι",,,
πιλατων,πιλατον,ο and ω,,,
πιλατως,πιλατος,ο and ω,,,
πιλον,πηλον,η and ι,,,
πινα,πεινα,"nonstandard ι, standard ει",,,
πινακει,πινακι,"nonstandard ει, standard ι",,,
πινακειδιον,πινακιδιον,"nonstandard ει, standard ι",,,
πιναν,πειναν,"nonstandard ι, standard ει",,,
πινασετε,πεινασετε,"nonstandard ι, standard ει",,,
πιναση,πειναση,"nonstandard ι, standard ει",,,
πινασουσιν,πεινασουσιν,"standard ει, nonstandard ι",,,
πινεται,πινετε,"nonstandard αι, standard ε",,,
πινηται,πινητε,"nonstandard αι, standard ε",,,
πινι,πινει,"standard ει, nonstandard ι",,,
πινιν,πινειν,"standard ει, nonstandard ι",,,
πινωμεν,πεινωμεν,"nonstandard ι, standard ει",,,
πινωντα,πεινωντα,"nonstandard ι, standard ει",,,
πινωντας,πεινωντας,"nonstandard ι, standard ει",,,
πινωντες,πεινωντες,"nonstandard ι, standard ει",,,
πιπρασκωμενων,πιπρασκομενων,ο and ω,,,
πιπτι,πιπτει,"standard ει, nonstandard ι",,,
πιπτωντων,πιπτοντων,ο and ω,,,
πιραζετε,πειραζετε,"nonstandard ι, standard ει",,,
πιραζη,πειραζη,"nonstandard ι, standard ει",,,
πιραζομενοις,πειραζομενοις,"standard ει, nonstandard ι",,,
πιραζομενος,πειραζομενος,"nonstandard ι, standard ει",,,
πιραζοντες,πειραζοντες,"nonstandard ι, standard ει",,,
πιραζων,πειραζων,"nonstandard ι, standard ει",,,
πιραν,πειραν,"nonstandard ι, standard ει",,,
πιρασαι,πειρασαι,"standard ει, nonstandard ι",,,
πιρασθηναι,πειρασθηναι,"standard ει, nonstandard ι",,,
πιρασθης,πειρασθης,"nonstandard ι, standard ει",,,
πιρασθις,πειρασθεις,"nonstandard ι, standard ει",,,
πιρασμοις,πειρασμοις,"standard ει, nonstandard ι",,,
πιρασμον,πειρασμον,"nonstandard ι, standard ει",,,
πιρασμος,πειρασμος,"nonstandard ι, standard ει",,,
πιρασμου,πειρασμου,"nonstandard ι, standard ει",,,
πιρασμω,πειρασμω,"nonstandard ι, standard ει",,,
πιρασμων,πειρασμων,"nonstandard ι, standard ει",,,
πισαντες,πεισαντες,"nonstandard ι, standard ει",,,
πισας,πεισας,"nonstandard ι, standard ει",,,
πισθης,πεισθης,"nonstandard ι, standard ει",,,
πισθησονται,πεισθησονται,"standard ει, nonstandard ι",,,
πισιδειαν,πισιδιαν,"nonstandard ει, standard ι",,,
πισιδειας,πισιδιας,"nonstandard ει, standard ι",,,
πισμονη,πεισμονη,"nonstandard ι, standard ει",,,
πισομεν,πεισομεν,"nonstandard ι, standard ει",,,
πιστειν,πιστιν,"nonstandard ει, standard ι",,,
πιστεις,πιστις,"nonstandard ει, standard ι",,,
πιστευεται,πιστευετε,"nonstandard αι, standard ε",,,
πιστευηται,πιστευητε,"nonstandard αι, standard ε",,,
πιστευονταις,πιστευοντες,"nonstandard αι, standard ε",,,
πιστευσασειν,πιστευσασιν,"standard ι, nonstandard ει",,,
πιστευσαται,πιστευσατε,"nonstandard αι, standard ε",,,
πιστευσεται,πιστευσετε,"nonstandard αι, standard ε",,,
πιστευσηται,πιστευσητε,"nonstandard αι, standard ε",,,
πιστευσι,πιστευση,η and ι,,,
πιστευσιτε,πιστευσητε,η and ι,,,
πιστευσωμεν,πιστευσομεν,ο and ω,,,
πιστευωμεν,πιστευομεν,ο and ω,,,
πιστευωντα,πιστευοντα,ο and ω,,,
πιστευωντας,πιστευοντας,ο and ω,,,
πιστευωντες,πιστευοντες,ο and ω,,,
πιστευωντι,πιστευοντι,ο and ω,,,
πιστευωντων,πιστευοντων,ο and ω,,,
πιστι,πιστει,"standard ει, nonstandard ι",,,
πιστως,πιστος,ο and ω,,,
πιχυν,πηχυν,η and ι,,,
πλανασθαι,πλανασθε,"nonstandard αι, standard ε",,,
πλανιθη,πλανηθη,η and ι,,,
πλανισαι,πλανησαι,η and ι,,,
πλανιση,πλανηση,η and ι,,,
πλανισουσιν,πλανησουσιν,η and ι,,,
πλανιται,πλανηται,η and ι,,,
πλατια,πλατεια,"nonstandard ι, standard ει",,,
πλατιαις,πλατειαις,"standard ει, nonstandard ι",,,
πλατιας,πλατειας,"nonstandard ι, standard ει",,,
πλατιων,πλατειων,"nonstandard ι, standard ει",,,
πλατοινουσιν,πλατοινουσι,movable ν,,,
πλεειν,πλειν,"nonstandard ει, standard ι",,,
πλειου,πλοιου,"standard ι, nonstandard ει",,,
πλειω,πλοιω,"standard ι, nonstandard ει",,,
πλειων,πλειον,ο and ω,,,
πλειωνα,πλειονα,ο and ω,,,
πλειωνας,πλειονας,ο and ω,,,
πλειωνες,πλειονες,ο and ω,,,
πλειωνων,πλειονων,ο and ω,,,
πλειωσιν,πλειοσιν,ο and ω,,,
πλεξανταις,πλεξαντες,"nonstandard αι, standard ε",,,
πλεονεξεια,πλεονεξια,"nonstandard ει, standard ι",,,
πλεονεξειαν,πλεονεξιαν,"nonstandard ει, standard ι",,,
πλεων,πλεον,ο and ω,,,
πλεωντας,πλεοντας,ο and ω,,,
πληθυνει,πληθυναι,"standard ι, nonstandard ει",,,
πληθυνθιη,πληθυνθειη,"nonstandard ι, standard ει",,,
πληθυνωντων,πληθυνοντων,ο and ω,,,
πληθως,πληθος,ο and ω,,,
πληρι,πληρη,η and ι,,,
πληρις,πληρεις,"nonstandard ι, standard ει",,,
πληρουσθαι,πληρουσθε,"nonstandard αι, standard ε",,,
πληροφορισθω,πληροφορεισθω,"nonstandard ι, standard ει",,,
πληρωθι,πληρωθη,η and ι,,,
πληρωθισης,πληρωθεισης,"nonstandard ι, standard ει",,,
πληρωσαται,πληρωσατε,"nonstandard αι, standard ε",,,
πλησειον,πλησιον,"standard ι, nonstandard ει",,,
πλησθις,πλησθεις,"nonstandard ι, standard ει",,,
πλησιων,πλησιον,ο and ω,,,
πλιγας,πληγας,η and ι,,,
πλιγων,πληγων,η and ι,,,
πλιθος,πληθος,η and ι,,,
πλιθους,πληθους,η and ι,,,
πλιθυνοντων,πληθυνοντων,η and ι,,,
πλιν,πλειν,"nonstandard ι, standard ει",,,
πλιον,πλειον,"nonstandard ι, standard ει",,,
πλιονα,πλειονα,"nonstandard ι, standard ει",,,
πλιονας,πλειονας,"nonstandard ι, standard ει",,,
πλιονες,πλειονες,"nonstandard ι, standard ει",,,
πλιονων,πλειονων,"nonstandard ι, standard ει",,,
πλιοσιν,πλειοσιν,"standard ει, nonstandard ι",,,
πλιους,πλειους,"nonstandard ι, standard ει",,,
πλιρωθεισης,πληρωθεισης,η and ι,,,
πλιρωθωσιν,πληρωθωσιν,η and ι,,,
πλιρωματα,πληρωματα,η and ι,,,
πλισθεις,πλησθεις,η and ι,,,
πλισιον,πλησιον,η and ι,,,
πλισται,πλεισται,"standard ει, nonstandard ι",,,
πλιστον,πλειστον,"nonstandard ι, standard ει",,,
πλιστος,πλειστος,"nonstandard ι, standard ει",,,
πλοιαρειον,πλοιαριον,"nonstandard ει, standard ι",,,
πλοιων,πλοιον,ο and ω,,,
πλουσιως,πλουσιος,ο and ω,,,
πλουτιν,πλουτειν,"nonstandard ι, standard ει",,,
πλουτισαντες,πλουτησαντες,η and ι,,,
πλουτισης,πλουτησης,η and ι,,,
πνεικτου,πνικτου,"nonstandard ει, standard ι",,,
πνεουσι,πνεουση,η and ι,,,
πνι,πνει,"nonstandard ι, standard ει",,,
πνωην,πνοην,ο and ω,,,
πνωης,πνοης,ο and ω,,,
ποδαις,ποδες,"nonstandard αι, standard ε",,,
ποδηρι,ποδηρη,η and ι,,,
ποδως,ποδος,ο and ω,,,
ποιεισθαι,ποιεισθε,"nonstandard αι, standard ε",,,
ποιειται,ποιειτε,"nonstandard αι, standard ε",,,
ποιησανταις,ποιησαντες,"nonstandard αι, standard ε",,,
ποιησαται,ποιησατε,"nonstandard αι, standard ε",,,
ποιησεται,ποιησετε,"nonstandard αι, standard ε",,,
ποιησηται,ποιησητε,"nonstandard αι, standard ε",,,
ποιησι,ποιησει,"standard ει, nonstandard ι",,,
ποιησις,ποιησεις,"standard ει, nonstandard ι",,,
ποιησουσιν,ποιησουσι,movable ν,,,
ποιησωμεν,ποιησομεν,ο and ω,,,
ποιηται,ποιητε,"nonstandard αι, standard ε",,,
ποιιν,ποιειν,"standard ει, nonstandard ι",,,
ποιισαι,ποιησαι,η and ι,,,
ποιιτε,ποιειτε,"standard ει, nonstandard ι",,,
ποικειλαις,ποικιλαις,"standard ι, nonstandard ει",,,
ποικειλης,ποικιλης,"nonstandard ει, standard ι",,,
ποικιλλαις,ποικιλαις,λ gemination,,,
ποιμαινα,ποιμενα,"nonstandard αι, standard ε",,,
ποιμαινες,ποιμενες,"nonstandard αι, standard ε",,,
ποιμαναται,ποιμανατε,"nonstandard αι, standard ε",,,
ποιμανι,ποιμανει,"standard ει, nonstandard ι",,,
ποιμνειου,ποιμνιου,"standard ι, nonstandard ει",,,
ποιμνειω,ποιμνιω,"nonstandard ει, standard ι",,,
ποιων,ποιον,ο and ω,,,
πολαιμων,πολεμων,"nonstandard αι, standard ε",,,
πολαιως,πολεως,"nonstandard αι, standard ε",,,
πολειται,πολιται,"nonstandard ει, standard ι",,,
πολειταρχας,πολιταρχας,"standard ι, nonstandard ει",,,
πολειτειαν,πολιτειαν,"standard ι, nonstandard ει",,,
πολειτευεσθε,πολιτευεσθε,"nonstandard ει, standard ι",,,
πολειτευμα,πολιτευμα,"nonstandard ει, standard ι",,,
πολειτην,πολιτην,"nonstandard ει, standard ι",,,
πολειτης,πολιτης,"nonstandard ει, standard ι",,,
πολειτων,πολιτων,"nonstandard ει, standard ι",,,
πολεμι,πολεμει,"nonstandard ι, standard ει",,,
πολεμισουσιν,πολεμησουσιν,η and ι,,,
πολεμισω,πολεμησω,η and ι,,,
πολι,πολει,"nonstandard ι, standard ει",,,
πολιτευεσθαι,πολιτευεσθε,"nonstandard αι, standard ε",,,
πολιτιαν,πολιτειαν,"standard ει, nonstandard ι",,,
πολλακεις,πολλακις,"nonstandard ει, standard ι",,,
πολλι,πολλη,η and ι,,,
πολλιν,πολλην,η and ι,,,
πολλλοι,πολλοι,λ gemination,,,
πολλυ,πολυ,λ gemination,,,
πολλυν,πολυν,λ gemination,,,
πολλυς,πολυς,λ gemination,,,
πολυτειμον,πολυτιμον,"nonstandard ει, standard ι",,,
πολυτειμοτερον,πολυτιμοτερον,"standard ι, nonstandard ει",,,
πολυτειμου,πολυτιμου,"nonstandard ει, standard ι",,,
πολυτιμων,πολυτιμον,ο and ω,,,
πονηραι,πονηρε,"nonstandard αι, standard ε",,,
πονηρων,πονηρον,ο and ω,,,
πονηρωτερα,πονηροτερα,ο and ω,,,
πονιρα,πονηρα,η and ι,,,
πονιρε,πονηρε,η and ι,,,
πονιριαι,πονηριαι,η and ι,,,
πονιριαν,πονηριαν,η and ι,,,
πονιριων,πονηριων,η and ι,,,
πονιροι,πονηροι,η and ι,,,
πονιρον,πονηρον,η and ι,,,
πονιρος,πονηρος,η and ι,,,
πονιρου,πονηρου,η and ι,,,
πονιρους,πονηρους,η and ι,,,
ποντιως,ποντιος,ο and ω,,,
ποντων,ποντον,ο and ω,,,
ποπλειου,ποπλιου,"nonstandard ει, standard ι",,,
ποπλειω,ποπλιω,"nonstandard ει, standard ι",,,
πορευαισθαι,πορευεσθε,"nonstandard αι, standard ε",,,
πορευεσθαι,πορευεσθε,"nonstandard αι, standard ε",,,
πορευθενταις,πορευθεντες,"nonstandard αι, standard ε",,,
πορευθηται,πορευθητε,"nonstandard αι, standard ε",,,
πορευθις,πορευθεις,"nonstandard ι, standard ει",,,
πορευθισαι,πορευθεισαι,"standard ει, nonstandard ι",,,
πορευομενει,πορευομενοι,"standard ι, nonstandard ει",,,
πορευσωμαι,πορευσομαι,ο and ω,,,
πορευωμεναι,πορευομεναι,ο and ω,,,
πορευωμενοι,πορευομενοι,ο and ω,,,
πορευωμενοις,πορευομενοις,ο and ω,,,
πορευωμενον,πορευομενον,ο and ω,,,
πορευωμενος,πορευομενος,ο and ω,,,
πορευωμενου,πορευομενου,ο and ω,,,
πορευωμενους,πορευομενους,ο and ω,,,
πορευωμενω,πορευομενω,ο and ω,,,
πορευωμενων,πορευομενων,ο and ω,,,
ποριαις,πορειαις,"standard ει, nonstandard ι",,,
ποριαν,πορειαν,"nonstandard ι, standard ει",,,
πορνια,πορνεια,"nonstandard ι, standard ει",,,
πορνιαι,πορνειαι,"standard ει, nonstandard ι",,,
πορνιαν,πορνειαν,"nonstandard ι, standard ει",,,
πορνιας,πορνειας,"nonstandard ι, standard ει",,,
πορφυροπωλεις,πορφυροπωλις,"nonstandard ει, standard ι",,,
ποσακεις,ποσακις,"standard ι, nonstandard ει",,,
ποσειν,ποσιν,"nonstandard ει, standard ι",,,
ποσεις,ποσις,"nonstandard ει, standard ι",,,
ποται,ποτε,"nonstandard αι, standard ε",,,
ποταμοφοριτον,ποταμοφορητον,η and ι,,,
ποταμοφωρητον,ποταμοφορητον,ο and ω,,,
ποταμων,ποταμον,ο and ω,,,
ποταπως,ποταπος,ο and ω,,,
ποτειζει,ποτιζει,"standard ι, nonstandard ει",,,
ποτειση,ποτιση,"standard ι, nonstandard ει",,,
ποτιριον,ποτηριον,η and ι,,,
πραγματευσασθαι,πραγματευσασθε,"nonstandard αι, standard ε",,,
πραγματιαις,πραγματειαις,"standard ει, nonstandard ι",,,
πραεως,πραεος,ο and ω,,,
πραθιναι,πραθηναι,η and ι,,,
πραιτωρειω,πραιτωριω,"nonstandard ει, standard ι",,,
πρακτωρι,πρακτορι,ο and ω,,,
πραξαισιν,πραξεσιν,"nonstandard αι, standard ε",,,
πραξειν,πραξιν,"nonstandard ει, standard ι",,,
πραξεται,πραξετε,"nonstandard αι, standard ε",,,
πραξις,πραξεις,"nonstandard ι, standard ει",,,
πρασειαι,πρασιαι,"nonstandard ει, standard ι",,,
πρασσιν,πρασσειν,"nonstandard ι, standard ει",,,
πραττουσιν,πραττουσι,movable ν,,,
πρειν,πριν,"nonstandard ει, standard ι",,,
πρεισκαν,πρισκαν,"nonstandard ει, standard ι",,,
πρεισκιλλα,πρισκιλλα,"nonstandard ει, standard ι",,,
πρεπι,πρεπει,"nonstandard ι, standard ει",,,
πρεπων,πρεπον,ο and ω,,,
πρεσβιαν,πρεσβειαν,"standard ει, nonstandard ι",,,
πρεσβυταιροι,πρεσβυτεροι,"nonstandard αι, standard ε",,,
πρεσβυταιρους,πρεσβυτερους,"nonstandard αι, standard ε",,,
πρεσβυταιρων,πρεσβυτερων,"nonstandard αι, standard ε",,,
πρεσβυτερειον,πρεσβυτεριον,"nonstandard ει, standard ι",,,
πρεσβυτερειου,πρεσβυτεριου,"nonstandard ει, standard ι",,,
πρηνις,πρηνης,η and ι,,,
πρινης,πρηνης,η and ι,,,
προαγι,προαγει,"nonstandard ι, standard ει",,,
προαγιν,προαγειν,"nonstandard ι, standard ει",,,
προαγονταις,προαγοντες,"nonstandard αι, standard ε",,,
προαγωντες,προαγοντες,ο and ω,,,
προαυλειον,προαυλιον,"nonstandard ει, standard ι",,,
προβαλλοντων,προβαλοντων,λ gemination,,,
προβαλλωσιν,προβαλωσιν,λ gemination,,,
προβεβηκοταις,προβεβηκοτες,"nonstandard αι, standard ε",,,
προβιβασθισα,προβιβασθεισα,"standard ει, nonstandard ι",,,
προγεγραμενοι,προγεγραμμενοι,removal of double μ,,,
προγεινωσκοντες,προγινωσκοντες,"nonstandard ει, standard ι",,,
προγινωσκωντες,προγινωσκοντες,ο and ω,,,
προγνωσι,προγνωσει,"nonstandard ι, standard ει",,,
προδωται,προδοται,ο and ω,,,
προειδουσα,προιδουσα,"nonstandard ει, standard ι",,,
προειδων,προιδων,"nonstandard ει, standard ι",,,
προειρικα,προειρηκα,η and ι,,,
προεπηγγιλατο,προεπηγγειλατο,"nonstandard ι, standard ει",,,
προετινεν,προετεινεν,"nonstandard ι, standard ει",,,
προεφητευων,προεφητευον,ο and ω,,,
προεφιτευσαν,προεφητευσαν,η and ι,,,
προεφιτευσεν,προεφητευσεν,η and ι,,,
προεχωμεθα,προεχομεθα,ο and ω,,,
προηλθων,προηλθον,ο and ω,,,
προθεσεις,προθεσις,"nonstandard ει, standard ι",,,
προθεσι,προθεσει,"nonstandard ι, standard ει",,,
προθυμειας,προθυμιας,"standard ι, nonstandard ει",,,
προθυμων,προθυμον,ο and ω,,,
προιγεν,προηγεν,η and ι,,,
προκαιχειρισμενον,προκεχειρισμενον,"nonstandard αι, standard ε",,,
προκαταγγιλαντας,προκαταγγειλαντας,"nonstandard ι, standard ει",,,
προκατηγγιλεν,προκατηγγειλεν,"nonstandard ι, standard ει",,,
προκεχειροτονιμενοις,προκεχειροτονημενοις,η and ι,,,
προκεχιρισμενον,προκεχειρισμενον,"standard ει, nonstandard ι",,,
προκεχιροτονημενοις,προκεχειροτονημενοις,"standard ει, nonstandard ι",,,
προκιμενης,προκειμενης,"nonstandard ι, standard ει",,,
προκινται,προκεινται,"standard ει, nonstandard ι",,,
προμεριμναται,προμεριμνατε,"nonstandard αι, standard ε",,,
προπαιτες,προπετες,"nonstandard αι, standard ε",,,
προπεμπωντων,προπεμποντων,ο and ω,,,
προπεμψαται,προπεμψατε,"nonstandard αι, standard ε",,,
προπεμψηται,προπεμψητε,"nonstandard αι, standard ε",,,
προπεταις,προπετες,"nonstandard αι, standard ε",,,
προσαγαγωντες,προσαγαγοντες,ο and ω,,,
προσαγιν,προσαγειν,"nonstandard ι, standard ει",,,
προσαναβηθει,προσαναβηθι,"nonstandard ει, standard ι",,,
προσαπειλισαμενοι,προσαπειλησαμενοι,η and ι,,,
προσαπιλησαμενοι,προσαπειλησαμενοι,"standard ει, nonstandard ι",,,
προσδαπανησις,προσδαπανησης,η and ι,,,
προσδεχωμενοι,προσδεχομενοι,ο and ω,,,
προσδεχωμενος,προσδεχομενος,ο and ω,,,
προσδοκειας,προσδοκιας,"standard ι, nonstandard ει",,,
προσδωκα,προσδοκα,ο and ω,,,
προσδωκιας,προσδοκιας,ο and ω,,,
προσδωκωμεν,προσδοκωμεν,ο and ω,,,
προσδωκωντων,προσδοκωντων,ο and ω,,,
προσεγγεισαι,προσεγγισαι,"nonstandard ει, standard ι",,,
προσεδωκων,προσεδοκων,ο and ω,,,
προσειχων,προσειχον,ο and ω,,,
προσεκλιθη,προσεκληθη,η and ι,,,
προσεκυνι,προσεκυνει,"nonstandard ι, standard ει",,,
προσεκυνισαν,προσεκυνησαν,η and ι,,,
προσεκυνισεν,προσεκυνησεν,η and ι,,,
προσελαβοντω,προσελαβοντο,ο and ω,,,
προσελθαι,προσελθε,"nonstandard αι, standard ε",,,
προσελθονταις,προσελθοντες,"nonstandard αι, standard ε",,,
προσελθωντες,προσελθοντες,ο and ω,,,
προσελθωντων,προσελθοντων,ο and ω,,,
προσενεγκαι,προσενεγκε,"nonstandard αι, standard ε",,,
προσεπαισεν,προσεπεσεν,"nonstandard αι, standard ε",,,
προσεπειειτο,προσεποιειτο,"standard ι, nonstandard ει",,,
προσεπεσων,προσεπεσον,ο and ω,,,
προσερριξεν,προσερρηξεν,η and ι,,,
προσερχωμενου,προσερχομενου,ο and ω,,,
προσερχωνται,προσερχονται,ο and ω,,,
προσεταιθησαν,προσετεθησαν,"nonstandard αι, standard ε",,,
προσετιθεντω,προσετιθεντο,ο and ω,,,
προσευξωμαι,προσευξομαι,ο and ω,,,
προσευξωμεθα,προσευξομεθα,ο and ω,,,
προσευχαισθε,προσευχεσθε,"nonstandard αι, standard ε",,,
προσευχεσθαι,προσευχεσθε,"nonstandard αι, standard ε",,,
προσευχωμενοι,προσευχομενοι,ο and ω,,,
προσευχωμενον,προσευχομενον,ο and ω,,,
προσευχωμενος,προσευχομενος,ο and ω,,,
προσευχωμενου,προσευχομενου,ο and ω,,,
προσεφερων,προσεφερον,ο and ω,,,
προσεχεται,προσεχετε,"nonstandard αι, standard ε",,,
προσεχιν,προσεχειν,"nonstandard ι, standard ει",,,
προσηλθων,προσηλθον,ο and ω,,,
προσηυξαντω,προσηυξαντο,ο and ω,,,
προσηυξατω,προσηυξατο,ο and ω,,,
προσηυχετω,προσηυχετο,ο and ω,,,
προσιλυτον,προσηλυτον,η and ι,,,
προσινεγκα,προσηνεγκα,η and ι,,,
προσινεγκαν,προσηνεγκαν,η and ι,,,
προσινεγκεν,προσηνεγκεν,η and ι,,,
προσινεχθη,προσηνεχθη,η and ι,,,
προσιχον,προσειχον,"nonstandard ι, standard ει",,,
προσκαλεσαμαινος,προσκαλεσαμενος,"nonstandard αι, standard ε",,,
προσκαλεσιται,προσκαλεσηται,η and ι,,,
προσκαλιται,προσκαλειται,"standard ει, nonstandard ι",,,
προσκαρτερησωμεν,προσκαρτερησομεν,ο and ω,,,
προσκαρτερι,προσκαρτερη,η and ι,,,
προσκαρτερισομεν,προσκαρτερησομεν,η and ι,,,
προσκαρτεριτε,προσκαρτερειτε,"nonstandard ι, standard ει",,,
προσκεκλιμαι,προσκεκλημαι,η and ι,,,
προσκλισιν,προσκλησιν,η and ι,,,
προσκοματος,προσκομματος,removal of double μ,,,
προσκοπτι,προσκοπτει,"standard ει, nonstandard ι",,,
προσκοψις,προσκοψης,η and ι,,,
προσκυνησαται,προσκυνησατε,"nonstandard αι, standard ε",,,
προσκυνησεται,προσκυνησετε,"nonstandard αι, standard ε",,,
προσκυνησις,προσκυνησεις,"nonstandard ι, standard ει",,,
προσκυνησουσιν,προσκυνησουσι,movable ν,,,
